Bulk Modulus (metal),Error Bulk Modulus,Volume,Error Volume
1570946.5695549217,5106.690887096289,126303.59999999992,0.0
1551045.130672533,2439.267806615661,126684.60500000013,0.0
1545472.0944861856,3909.0568798592703,127066.375,0.0
1520839.5720681823,3772.0768074494645,127448.91500000004,0.0
1507257.4901940678,1999.2794484415692,127832.22000000015,0.0
1489062.4883489164,3070.2116950134555,128216.28999999988,0.0
1478440.1830241801,2965.5545618007304,128601.13499999985,0.0
1457966.490561925,3769.198438842254,128986.74500000008,0.0
1440738.4333487598,6778.867441750136,129373.125,0.0
1418948.921825926,6484.391105170737,129760.27499999976,0.0
