Step TotEng v_varAveEnergy v_energySTD Temp v_varAveTemp v_tempSTD Volume v_varAveVolume v_volumeSTD Press v_varAvePress v_pressSTD c_MSD[4] 
  185000   -6297.9804    -6393.928    111.57796    1967.2553    1998.1321    41.628093    28188.848    27641.766    528.11497   -2361.1841    89.842177    3156.9038 1.6264093e-29 
  190000   -6265.1203   -6390.9449    111.60345    2029.7947    1997.9644    41.518508    28278.812    27656.763    529.15685   -1852.3813    69.045208    3147.7849   0.34140861 
  195000   -6265.1885   -6388.2351    111.44459    2040.1626    1998.1025    41.364746    28363.165    27669.789    529.01075   -5579.7007    67.547042    3226.9394   0.54927562 
  200000   -6277.0878     -6385.53    111.34828    1988.2109    1998.1468    41.204998    28444.852    27683.132    529.50586   -9534.7372    68.963238    3294.9333   0.72867526 
  205000   -6290.0483   -6383.1608     111.0167    1962.6596    1998.0703    41.063865    28280.064    27694.338    528.33749   -4633.5148    76.298608    3375.1283    0.8948816 
  210000   -6271.3867   -6380.8219     110.7173    2053.9752     1998.092    41.001688    28145.346    27705.744    527.15433    642.16252    65.724317    3365.3086    1.0781109 
  215000   -6287.4369   -6378.6162    110.37708    1961.8429    1997.9365    40.882043    28267.798    27717.154     526.9042   -3603.8641    36.505164    3469.0676    1.3141178 
  220000    -6297.582     -6376.44    110.05681    1948.6364     1998.051    40.699267    28248.397    27727.082    526.01016   -4417.9347     42.19307    3655.7478    1.4966747 
  225000   -6301.9967    -6374.684    109.46589    1936.3597    1997.8949    40.649343    28228.138    27735.435     523.5742   -2879.9959     62.01115    3703.5202    1.6812914 
  230000    -6282.983   -6373.0056    108.86761    1997.8198    1997.9695    40.501135    28225.245    27743.345    520.76932   -2924.8916    69.248656    3696.0998    1.8363317 
  235000   -6300.5232   -6371.2253     108.3941    1957.4648    1998.1718    40.467115    28091.949    27751.928    518.50654    1847.0707    65.084256    3675.7748    2.0148448 
  240000   -6304.6209   -6369.5037      107.917    1962.3241    1998.1418    40.369262    28127.934    27760.208    516.27248    -813.1576    65.243658    3654.3657    2.1419632 
  245000   -6302.1473   -6367.8428    107.44237    1948.9835    1998.2326    40.300296    28210.954    27768.148    513.96746   -2890.8187     61.20452    3629.7966    2.3291287 
  250000   -6246.9165   -6365.9081    107.23454    2113.0065    1998.4324    40.305818    28198.863     27777.69    513.34414    1439.1135    47.291816    3632.5848    2.5079159 
  255000   -6287.5442   -6364.4084    106.71995    1966.9173     1998.458     40.26995    28267.308    27784.996    511.24505   -2378.9291    50.122962    3649.9446    2.6137402 
  260000   -6257.1111   -6362.8042    106.32167    2017.9891    1998.5653    40.180177    28353.343    27792.837    509.93489   -2782.5306    45.985321    3706.8727    2.8077466 
  265000    -6273.987   -6361.3752     105.8376     2021.834    1998.4767    40.084264    28425.752    27800.098    508.33168   -9559.6348    50.762904    3755.1677    2.9485602 
  270000   -6289.9222   -6359.9842    105.35602    2002.5862    1998.4617    40.017449     28360.03    27806.864    506.52306   -9537.1006    49.977466    3824.1892    3.0978972 
  275000   -6258.0813   -6358.6514    104.86865     2036.081    1998.5509     39.96727    28310.772     27812.71    504.16058   -3178.8418    58.175756    3864.1474    3.2357435 
  280000   -6279.6955    -6357.241    104.46666    1974.4265    1998.4917    39.880808    28254.587    27819.386    502.13643   -1288.0469    66.257062    3841.5125    3.3933686 
