Step TotEng v_varAveEnergy v_energySTD Temp v_varAveTemp v_tempSTD Volume v_varAveVolume v_volumeSTD Press v_varAvePress v_pressSTD c_MSD[4] 
  220000   -7600.1154   -7602.9522    1.3136662    305.92676    299.34931    4.4382993    24124.542    24124.542 0.00034526698    6826.1271    6551.5863    195.99633 4.1355109e-29 
  225000   -7602.6784   -7603.9476    1.0190332    296.52062    296.76174    4.3512869    24124.542    24124.542 0.00034526698     6736.692    6397.8935    135.44074  0.029537136 
  230000   -7599.7167   -7602.0806    1.5829627    300.69372     298.1193    4.3968362    24124.542    24124.542 0.00034526698    7161.0192    6778.7434    267.40711  0.031825328 
  235000   -7600.9612   -7602.1364    1.6535374    304.03264    299.34324    6.3032478    24124.542    24124.542 0.00034526698    6753.7456     6660.562    127.07424  0.032634054 
  240000    -7602.631   -7603.4482    2.1757875    303.55124    298.43538    5.2468856    24124.542    24124.542 0.00034526698    6502.8043    6594.4466    387.30387  0.032840251 
  245000   -7602.6974   -7600.5075    1.4804636    299.05505    303.45853    5.1115092    24124.542    24124.542 0.00034526698    6672.8812     6899.027    137.28073  0.034008741 
  250000   -7605.0621   -7602.1793    1.5831106     289.0018    301.87801    6.3125278    24124.542    24124.542 0.00034526698    6589.1099    6593.8018    118.29794   0.03365291 
  255000   -7602.0836   -7601.5141       2.2703    293.12039    300.44714    6.4964928    24124.542    24124.542 0.00034526698     7124.585    6863.9598    309.08932  0.033426767 
  260000   -7599.4277   -7600.1934    1.0428637    306.29707    300.87234     4.142976    24124.542    24124.542 0.00034526698    7046.2798    7073.7692    111.10581  0.033301166 
  265000   -7598.6904   -7600.7816    1.2459533    302.79928    300.06262    4.2978983    24124.542    24124.542 0.00034526698    7339.5116     6985.046    275.27899  0.034604489 
  270000   -7602.9169   -7603.4623    1.2163445    305.17719    299.70233    3.5146947    24124.542    24124.542 0.00034526698    6228.5161    6371.0261    246.59308  0.034546085 
  275000   -7602.9616   -7603.0269    1.6330205    305.48477    304.24676    5.2278417    24124.542    24124.542 0.00034526698    6268.6601     6274.119    193.99655  0.033682435 
  280000   -7600.7981   -7605.1206    1.9157745    307.87399    297.60459    5.6374069    24124.542    24124.542 0.00034526698     6637.494    6238.2347    164.60273  0.033755887 
