Step TotEng v_varAveEnergy v_energySTD Temp v_varAveTemp v_tempSTD Volume v_varAveVolume v_volumeSTD Press v_varAvePress v_pressSTD c_MSD[4] 
  215000   -7596.0973   -7596.5261   0.90799604    304.94744    302.25075    4.3235096    24197.353    24197.353 0.0016194457    2645.0892    2739.3041    168.95782 3.5250681e-29 
  220000   -7598.2284   -7596.6439    1.5552604    295.44445    300.37209    4.6476396    24197.353    24197.353 0.0016194457    2693.1003     2806.569    135.05729  0.028011584 
  225000   -7594.6412   -7595.6569    1.2574838     306.1109    299.36031    4.9077527    24197.353    24197.353 0.0016194457    2827.2709    3011.3809    251.54706  0.032414334 
  230000   -7599.6039   -7596.1519    1.8219193    287.90143    296.50254    6.5728337    24197.353    24197.353 0.0016194457    2794.5802    3150.4423    174.31031  0.033421934 
  235000   -7597.2311   -7596.6545    2.5163608    298.75596    300.52958    4.4930539    24197.353    24197.353 0.0016194457    2687.7083     2748.264    465.16206  0.033441368 
  240000   -7595.7077   -7595.2517    1.6828136    302.60397    300.97669    6.2626736    24197.353    24197.353 0.0016194457    2866.0992    3112.7503    188.13742  0.034133979 
  245000   -7595.7087   -7595.9174    1.5522624    296.98398    299.91983    4.9239015    24197.353    24197.353 0.0016194457    3121.1898    2890.0649    269.29004  0.034296523 
  250000   -7596.7507   -7595.3674    1.5421697    291.98224    299.96115    4.8076165    24197.353    24197.353 0.0016194457    3057.3338      2947.19    195.64556  0.034745786 
  255000   -7594.5144   -7595.0659    1.6751709    302.79344    299.48013    5.2595494    24197.353    24197.353 0.0016194457    3097.2785    3088.4171    152.08732   0.03420748 
  260000   -7598.1817   -7595.2569    1.3728247    296.04567      297.977    5.2467319    24197.353    24197.353 0.0016194457    2552.3394    3147.9035    213.15326  0.034302542 
  265000    -7594.721   -7595.8677    1.2124063    303.16893    299.13968    5.7898503    24197.353    24197.353 0.0016194457    3028.8033    2965.2731    82.312865  0.034940495 
  270000   -7594.5573   -7596.2911    1.3900587    301.98291    297.58024    5.2973612    24197.353    24197.353 0.0016194457    3112.3277    2936.8344    101.45413  0.035472013 
  275000   -7593.0438   -7592.6972    1.8888092    300.79534    303.23677     4.529978    24197.353    24197.353 0.0016194457     3528.882    3488.3261    315.29468  0.037919959 
  280000   -7597.5609   -7597.6905    1.1662701    294.06933    299.04054    4.3869589    24197.353    24197.353 0.0016194457    2926.2013    2701.6178     107.6504  0.035899263 
  285000   -7597.5892   -7598.0759    1.3636551    302.63734    299.25534    4.3252226    24197.353    24197.353 0.0016194457    2478.1501    2479.6696    199.91472  0.033637217 
  290000   -7596.9255   -7594.6718    1.6448122    301.98692    301.97286     6.417958    24197.353    24197.353 0.0016194457    2594.3323    3091.3003    214.51706  0.034620336 
  295000   -7594.2715   -7594.4092    1.2273339     303.7712    299.34454    3.9718353    24197.353    24197.353 0.0016194457     3234.632    3315.1431    183.33912  0.034981854 
  300000    -7598.285   -7598.4811    1.3920865     300.2566    300.66505    4.4765576    24197.353    24197.353 0.0016194457    2440.0911    2385.1026     197.8243  0.033477632 
  305000   -7595.7962   -7595.4112    1.5788087     294.6771    299.66343    5.0283332    24197.353    24197.353 0.0016194457    3273.8872    3088.0367    198.64077  0.036228172 
  310000   -7595.2584   -7596.3276    1.3677763    296.52626    297.62273    5.2034202    24197.353    24197.353 0.0016194457    3210.4153    2908.3332    133.56496  0.035382941 
  315000   -7593.2424    -7595.412    1.4754165    303.46208    299.66416    5.1438549    24197.353    24197.353 0.0016194457    3402.2903    3074.7361    163.74607  0.035555586 
  320000    -7595.998   -7595.4821    1.4510883    298.82854    299.31049    4.6633104    24197.353    24197.353 0.0016194457    3005.9682    3137.1107    162.88289  0.036292042 
  325000   -7598.7323   -7595.4716    1.9337599     290.9189    300.81657     6.143365    24197.353    24197.353 0.0016194457    2807.2704    3037.3174    156.71995  0.036413404 
  330000   -7593.9542   -7595.3853    1.4013348    307.69775     301.3821    4.6143704    24197.353    24197.353 0.0016194457    3031.2909    2997.1184    147.48582   0.03557227 
  335000   -7594.1622   -7595.6634    1.6902295    296.38758    299.06643    4.2480269    24197.353    24197.353 0.0016194457    3551.3564    3092.1914     256.9062  0.035837961 
  340000   -7592.6931   -7593.9427    1.4185937    299.93763    303.18102    5.8776199    24197.353    24197.353 0.0016194457    3616.8915    3222.6408    157.66504  0.035137275 
  345000   -7599.0158   -7597.6904    1.6196011    294.64013    298.07561    4.4044474    24197.353    24197.353 0.0016194457    2570.7389    2659.6893    329.87021  0.035843836 
  350000   -7593.8277   -7595.9709    1.5874089    306.41086    299.71415    6.5542481    24197.353    24197.353 0.0016194457    3149.3192    2984.5057     86.40569    0.0378496 
  355000   -7598.8188   -7597.3946     1.078788    291.71431    299.24358    5.0239189    24197.353    24197.353 0.0016194457    2743.4352    2750.2976    95.694988   0.03695501 
  360000   -7598.6404   -7595.4756    1.7444599    289.84658    301.05268    6.6208318    24197.353    24197.353 0.0016194457    2795.8663    2958.7621     137.3224  0.037741248 
  365000   -7595.9752   -7597.3908    1.3479315    302.17066    299.54667    3.8167008    24197.353    24197.353 0.0016194457    2860.0753    2670.4375    175.78052  0.036176454 
  370000   -7596.9952   -7595.2356    1.9672178    301.67011    301.42004    5.5149753    24197.353    24197.353 0.0016194457    2564.9575    3031.7036     248.6131   0.03582172 
  375000   -7596.5296   -7594.2919    1.6575095    297.19263    302.11453    5.5967715    24197.353    24197.353 0.0016194457    2908.0259    3228.1883    193.69428  0.035863257 
  380000   -7595.5779   -7595.6716    1.3623739    299.93208    300.61753    5.4669714    24197.353    24197.353 0.0016194457    3071.4386    3019.4916    111.13812  0.034680776 
  385000   -7595.6497    -7594.479    1.6851558    304.75959    303.30033     5.030629    24197.353    24197.353 0.0016194457    2744.6301    3034.1471    199.18217  0.033393833 
  390000   -7596.0262   -7596.0695    1.2594865    302.78292    298.77313    5.1658391    24197.353    24197.353 0.0016194457    2681.2816      2926.19    149.34869  0.033934757 
  395000   -7594.5364   -7594.4546    1.4999906    297.70872     301.0926    5.4647297    24197.353    24197.353 0.0016194457     3419.239    3227.2738    292.67651  0.035153619 
  400000   -7598.4821   -7597.2055    1.4083115    300.42769    300.46206    4.9287118    24197.353    24197.353 0.0016194457    2435.0642    2717.1961    147.15735  0.033623718 
  405000   -7595.9545   -7593.8582    1.3788648    291.78446    300.71874    4.5528737    24197.353    24197.353 0.0016194457     3300.005    3386.8612    103.98077  0.034595921 
  410000   -7595.2472   -7594.9396      1.27479     299.5598    298.76822    4.9058074    24197.353    24197.353 0.0016194457    3027.4645    3158.7627     130.5917   0.03506747 
  415000   -7591.6449   -7592.9928    1.8353888    307.57637    303.79611    6.2935204    24197.353    24197.353 0.0016194457    3458.1953    3365.5408    190.33508   0.03565556 
  420000   -7594.7617   -7595.5216     1.978548    306.30279    300.49559    5.6917022    24197.353    24197.353 0.0016194457    2984.7463    3084.6492    245.53493   0.03585013 
  425000   -7594.4494   -7594.6911    1.8450017    299.00358    301.46334    5.2481625    24197.353    24197.353 0.0016194457    3337.8681    3199.7608    209.59833  0.036150914 
  430000   -7597.8811    -7595.531    1.7502822    302.52493    302.85545    3.7982105    24197.353    24197.353 0.0016194457    2378.6736    2969.8665    333.78893  0.034428376 
  435000   -7596.0006   -7596.4804    1.2641568    301.37904    299.66068     5.368174    24197.353    24197.353 0.0016194457    2926.6122    2809.6974    187.81292  0.033694582 
  440000   -7599.0983   -7595.9855       1.1239    294.44107    300.04974    4.1538242    24197.353    24197.353 0.0016194457    2480.0953    2893.5711    132.40101  0.035175946 
