Step TotEng v_varAveEnergy v_energySTD Temp v_varAveTemp v_tempSTD Volume v_varAveVolume v_volumeSTD Press v_varAvePress v_pressSTD c_MSD[4] 
  480000   -7584.0831   -7581.5375    1.2436213    291.65808     301.2658    4.8152112    24270.309    24270.309  0.002264067   -1303.5526   -1127.5844    154.25642 7.5752217e-29 
  485000   -7584.2008   -7581.8717    1.4862319    295.72268    300.09002    3.4852702    24270.309    24270.309  0.002264067   -1453.5383   -1172.7148    242.69589  0.028333423 
  490000   -7578.6529   -7581.5933    1.4184853    307.03337    300.16647    4.9787025    24270.309    24270.309  0.002264067   -724.25607   -1083.3486    145.75195  0.032957971 
  495000   -7582.1412   -7582.5438   0.92432786    304.59097    299.95077    4.8606635    24270.309    24270.309  0.002264067   -1378.1494   -1217.1059    223.09517  0.033568345 
  500000   -7584.5216   -7581.7065     1.631641    293.75034    301.65683    5.2048838    24270.309    24270.309  0.002264067   -1370.0707   -1197.1528    109.65516  0.035281283 
  505000   -7579.9213    -7581.356    1.7184175    302.35781    300.51963    5.1468292    24270.309    24270.309  0.002264067   -771.97841   -1050.1979    236.63162  0.034726318 
  510000   -7580.7602   -7580.4172    1.2251658    302.54766    299.31457    4.6843577    24270.309    24270.309  0.002264067   -1100.6798   -915.18412    111.99883  0.034141484 
  515000   -7580.5614   -7582.3249    1.8339734     301.0465    301.66544     5.229008    24270.309    24270.309  0.002264067   -858.41215   -1241.0159    206.59367   0.03701167 
  520000    -7584.545   -7582.9958    1.1197535    291.52703    296.32715    4.1065813    24270.309    24270.309  0.002264067   -1317.3576   -1243.9761    58.911054  0.036322271 
  525000   -7580.6654   -7581.1997    1.1335142    304.45893    301.48266    4.4205737    24270.309    24270.309  0.002264067   -1060.6314   -1079.0411    118.53342  0.036847433 
  530000   -7582.6312   -7581.9594     1.553679    304.91777    302.50104    6.0389285    24270.309    24270.309  0.002264067   -1545.8286   -1313.1146    127.51387   0.03814164 
