Step TotEng v_varAveEnergy v_energySTD Temp v_varAveTemp v_tempSTD Volume v_varAveVolume v_volumeSTD Press v_varAvePress v_pressSTD c_MSD[4] 
  970000   -7567.9033   -7569.6076    1.5589778    303.78942    299.35608    4.7404587    24416.663    24416.663 0.0009765625   -9223.6678   -9415.2142    224.52317 4.4507471e-29 
  975000   -7570.6478   -7569.3834     1.608116    296.72121    301.01809    5.1907882    24416.663    24416.663 0.0009765625   -9455.3257   -9368.3739     164.6389  0.030099098 
  980000   -7571.5352   -7569.2112    1.1736971    293.67499    301.74274     4.753213    24416.663    24416.663 0.0009765625   -9471.7968   -9253.7622    175.55439  0.034610931 
  985000   -7568.3422   -7570.2684    1.5718083    308.34004    297.71295    6.1793579    24416.663    24416.663 0.0009765625   -9570.8805   -9464.5169    124.14149  0.034421189 
  990000   -7564.8911   -7568.2609    1.9742762    302.52068    297.90039    5.2090831    24416.663    24416.663 0.0009765625   -8378.0783   -8957.4427     255.7856  0.036174796 
  995000    -7567.203   -7570.6554    1.8144526     306.3967    299.04391    7.0509192    24416.663    24416.663 0.0009765625   -9232.1301   -9615.7795    160.63879  0.036355383 
 1000000   -7568.7322   -7569.2789    1.2493354    294.51407    298.46987    3.8668599    24416.663    24416.663 0.0009765625   -8916.8691   -9217.6864    171.39965   0.03620584 
 1005000   -7567.8932   -7568.3826    1.4459139    299.90299    301.05805    4.1160154    24416.663    24416.663 0.0009765625   -9048.2317   -9182.1036    237.46239  0.035808366 
 1010000   -7568.3921   -7568.1842   0.96527737    302.76286    299.02702    3.6754946    24416.663    24416.663 0.0009765625   -9266.8742   -9004.9053     97.80264  0.035756408 
 1015000   -7564.9757   -7567.8933    1.4378478    310.03822    299.36974    5.4236875    24416.663    24416.663 0.0009765625   -8876.8018   -8993.5032    245.83779  0.035930967 
 1020000    -7567.543   -7567.6767    1.3858666    299.35507    300.72655    3.4236666    24416.663    24416.663 0.0009765625   -8795.6986   -8986.3757    265.80567  0.037237755 
 1025000   -7568.9124   -7568.0527    1.5007103    300.55705    300.67373     5.563645    24416.663    24416.663 0.0009765625   -9342.7809    -9078.371    212.25998  0.036799727 
 1030000   -7566.5406   -7567.9689    1.2338969    305.98171    299.30956    4.8249885    24416.663    24416.663 0.0009765625   -9024.1975   -8967.4462    116.37729  0.036162964 
 1035000   -7566.0448   -7570.0183    2.1105071    302.38673    296.72299     3.744825    24416.663    24416.663 0.0009765625   -8665.5057   -9316.6922    406.67199  0.036724373 
 1040000   -7572.5984   -7571.3129    1.4000529    294.64556    297.93782    3.6927052    24416.663    24416.663 0.0009765625    -9796.253   -9544.3985    197.81409  0.035828224 
 1045000    -7568.201   -7568.6474    1.3372626    305.77893    299.93088    5.9171268    24416.663    24416.663 0.0009765625   -9433.7334   -9209.4075     149.5076  0.035567057 
 1050000   -7567.8868   -7567.0538    1.0280771    300.28548    302.16622     4.028157    24416.663    24416.663 0.0009765625   -9036.1168   -8924.6358    75.621021  0.036526456 
 1055000   -7568.2069   -7566.8171    1.4910835    300.39995    300.56658    5.8844356    24416.663    24416.663 0.0009765625   -9108.1841    -8798.483    128.18046  0.037243949 
 1060000   -7565.4447   -7567.8267    1.4576364    308.39293     298.5999    5.4025371    24416.663    24416.663 0.0009765625   -8723.0939   -8907.2008    243.66504  0.038469371 
 1065000   -7567.3279   -7566.9609     1.476826    296.96792    303.40421    6.0341957    24416.663    24416.663 0.0009765625   -8624.3759   -8909.5451    140.33045  0.038245401 
 1070000   -7569.9629    -7567.048     1.622966    294.97545    301.58497    4.9687935    24416.663    24416.663 0.0009765625    -9293.716    -8953.352    207.95251  0.037801019 
 1075000   -7566.5228   -7569.5712    1.9398833    306.62688    300.22941    5.2435505    24416.663    24416.663 0.0009765625   -9021.1291    -9445.777    228.73474  0.036947586 
 1080000   -7570.1314   -7567.9284    1.5324117    295.38295    301.01895    5.7715352    24416.663    24416.663 0.0009765625   -9241.2375   -8998.9348    106.94891  0.037143208 
