Step TotEng v_varAveEnergy v_energySTD Temp v_varAveTemp v_tempSTD Volume v_varAveVolume v_volumeSTD Press v_varAvePress v_pressSTD c_MSD[4] 
   20000   -7610.6128   -7610.1448    1.6093869    297.13929    299.88342    5.1021144    24490.059    24490.059 0.00091349057   -15317.652   -15399.697    154.89448 5.3833594e-29 
   25000    -7607.636   -7608.2855    1.6695416    302.13239    299.59828    5.8142465    24490.059    24490.059 0.00091349057   -14959.223   -14981.198     133.3049  0.029952189 
   30000    -7607.343   -7608.8311    1.2682384    306.28612    299.88669    4.5181898    24490.059    24490.059 0.00091349057   -15001.674   -15094.001    111.84396  0.032723112 
   35000   -7607.3461    -7607.971    1.2360158    304.83152    299.86772    5.3530444    24490.059    24490.059 0.00091349057   -14925.378   -14882.775    162.32053  0.033940884 
   40000   -7608.3487   -7608.0677    1.2824537     297.5716    298.98703    5.3088185    24490.059    24490.059 0.00091349057   -14884.343   -14898.285    205.11577  0.035515767 
   45000   -7608.9851   -7608.1262    1.1447337    295.86072     299.0177    4.6521793    24490.059    24490.059 0.00091349057    -14945.35   -14951.139    221.49575  0.035456117 
   50000   -7610.1756   -7610.1266     1.028378    300.10406    299.61649    4.2507578    24490.059    24490.059 0.00091349057   -15408.819   -15324.935    94.914747  0.036393678 
   55000   -7609.4533   -7611.9111    1.2866353    309.58262    296.45308    5.3152169    24490.059    24490.059 0.00091349057   -15573.272   -15538.148    154.00044  0.035642489 
   60000   -7608.4129   -7610.1274    1.8333523    299.52624    298.36608    6.6814514    24490.059    24490.059 0.00091349057   -15038.474   -15354.906    128.54883  0.037615002 
   65000    -7604.298   -7608.7771     1.614553     309.0146    300.06615    4.0166658    24490.059    24490.059 0.00091349057   -14501.493   -14996.463    262.49269  0.037628447 
   70000   -7611.8478   -7609.7361    1.3330752    297.89957    298.66766    3.8346713    24490.059    24490.059 0.00091349057   -15647.416   -15186.609    220.59126  0.036990004 
   75000   -7607.2344   -7609.7806    1.2470857     301.7778    300.88047    5.2415399    24490.059    24490.059 0.00091349057   -14833.121   -15389.124    178.26245   0.03631929 
   80000   -7610.5543   -7610.1282    1.3254543    297.21153    297.03469    4.5816575    24490.059    24490.059 0.00091349057   -15351.709   -15158.122    148.16825   0.03726267 
   85000   -7612.3799   -7610.6481    1.4596493    299.78116    300.69086    4.3011339    24490.059    24490.059 0.00091349057   -15822.663   -15459.972    218.11204  0.037397434 
   90000   -7610.0637   -7608.1093    1.8941253    298.35906    301.96808    5.5304714    24490.059    24490.059 0.00091349057   -15203.086   -14868.646    220.43755  0.038512805 
   95000   -7607.5591   -7610.0809    1.6482024    304.65453     298.5161    5.2261635    24490.059    24490.059 0.00091349057   -15048.782   -15260.022    132.95121  0.038172262 
  100000   -7605.5634   -7607.7471    2.0005763    307.75437    301.36993    5.5234008    24490.059    24490.059 0.00091349057   -14743.107    -14904.89    248.50407  0.037716465 
  105000   -7606.9734   -7606.7848    1.6585543    300.58763    302.14294    6.1255364    24490.059    24490.059 0.00091349057   -14819.883   -14789.528    104.93659  0.038409962 
