Step TotEng v_varAveEnergy v_energySTD Temp v_varAveTemp v_tempSTD Volume v_varAveVolume v_volumeSTD Press v_varAvePress v_pressSTD c_MSD[4] 
  205000   -7563.1898   -7562.4551    1.3945759    294.06693    300.04465    6.4188639    24563.603    24563.603 0.0016558423   -16918.759     -17013.1    123.96727 1.0056436e-29 
  210000   -7562.9204   -7562.0479    1.7906355    301.57421    304.01491    5.9316757    24563.603    24563.603 0.0016558423   -17191.569    -17166.52    177.82688  0.028440951 
  215000   -7555.4752    -7556.798    1.5681516    307.68878    299.89538      5.92562    24563.603    24563.603 0.0016558423   -15835.349   -15884.392    149.36014  0.035503067 
  220000   -7558.1554   -7559.6184    1.6473822    305.58609    298.10759    5.6574428    24563.603    24563.603 0.0016558423   -16358.812   -16421.994    162.27538  0.036151265 
  225000   -7559.5698   -7561.4532    1.2682895    307.00879    299.63144    4.2947422    24563.603    24563.603 0.0016558423   -16778.453    -16759.72    102.45326  0.035562377 
  230000   -7563.1044   -7561.5974    1.3600661    293.92108    297.78114    4.3006654    24563.603    24563.603 0.0016558423   -16906.068   -16736.307     194.7085  0.035378506 
  235000   -7555.4586   -7561.2995    1.3207233    314.91228    299.43393     4.367248    24563.603    24563.603 0.0016558423   -16270.622   -16784.724    167.58497  0.037236898 
  240000   -7558.9873   -7561.3871    1.1369746    301.28682    296.51633    4.0946188    24563.603    24563.603 0.0016558423   -16399.846   -16683.548     147.5722  0.037902065 
  245000   -7561.9372   -7561.5617    1.2994866    299.57031    298.90053    4.9063815    24563.603    24563.603 0.0016558423    -16941.34   -16799.636    90.828041  0.037869552 
  250000   -7561.0194   -7560.3782    1.4566188    299.97984    303.72687    5.7367671    24563.603    24563.603 0.0016558423   -16673.709   -16743.476    102.84837  0.038900918 
  255000   -7562.0703   -7561.1574    1.0443576    297.31733    298.23005    3.8793258    24563.603    24563.603 0.0016558423   -16861.227   -16706.796    116.36409  0.037259848 
  260000   -7560.2899   -7562.2613    1.7058752    299.10614    297.36666     6.077957    24563.603    24563.603 0.0016558423   -16576.966   -16899.958     174.9329  0.038547023 
  265000   -7562.5807   -7561.2813    1.4158983     299.2676    300.95011    5.6083821    24563.603    24563.603 0.0016558423   -16974.636   -16714.622    124.32879  0.037982734 
  270000   -7560.9573   -7558.9065    1.6386011    299.00814    302.60977    5.6069542    24563.603    24563.603 0.0016558423   -16628.925   -16366.553    134.67394  0.037597591 
  275000   -7560.4041   -7561.0764    1.1261577    298.42706    298.77579    4.6207934    24563.603    24563.603 0.0016558423   -16487.471    -16656.57    69.095648  0.038228436 
  280000   -7561.6703   -7558.8987    1.8315053    293.02089    300.54755    4.8917351    24563.603    24563.603 0.0016558423   -16581.907   -16272.371    235.83699  0.038301868 
  285000   -7560.9433   -7559.6737    1.3423301    298.26326    301.52276    4.8096994    24563.603    24563.603 0.0016558423   -16737.836   -16559.028    108.61408  0.038020753 
  290000   -7560.0954   -7559.8901    2.3657737    297.86951    302.68923    6.7734446    24563.603    24563.603 0.0016558423    -16586.22   -16712.462    249.00515  0.037454041 
  295000   -7563.3501   -7562.0704    1.2363837    297.14526    297.72002    5.0406582    24563.603    24563.603 0.0016558423   -17148.195   -16897.424    105.60955  0.037797867 
  300000   -7558.5063   -7560.5592    1.3796587    298.85261    297.96943    6.7417506    24563.603    24563.603 0.0016558423   -16031.592   -16519.865    261.39933  0.037180361 
  305000   -7565.1821   -7562.5814    1.6585184    292.44457    299.49672    5.1385988    24563.603    24563.603 0.0016558423    -17385.36   -17098.578    282.66005  0.035939252 
  310000   -7558.5607   -7561.2131    2.1027853     313.1537    299.82928    6.8776109    24563.603    24563.603 0.0016558423   -16780.292   -16732.607     256.4633  0.037586342 
  315000   -7560.0342   -7560.8549    1.3955315    300.03972    297.02172    5.1812612    24563.603    24563.603 0.0016558423   -16474.996    -16532.61    89.010855  0.037849752 
  320000   -7559.6319   -7559.0782    1.5896051    301.64934    298.93675    5.8982562    24563.603    24563.603 0.0016558423   -16478.242   -16299.776    132.29792  0.037906034 
  325000    -7562.118   -7562.8929    1.1956875    298.30767    299.60001    5.6392652    24563.603    24563.603 0.0016558423   -16853.526   -17065.573    217.22789  0.037600062 
  330000   -7564.1119    -7563.227    1.0652107    303.01038    299.44979    4.6104812    24563.603    24563.603 0.0016558423   -17585.934   -17248.704    134.47277  0.037293934 
  335000   -7561.6611   -7559.7423    1.5321464    300.64999    300.03291    4.6554267    24563.603    24563.603 0.0016558423   -16963.777   -16515.236    157.75725  0.038047857 
  340000   -7566.2451   -7561.0585     1.481121    289.30135    300.98108    4.2091233    24563.603    24563.603 0.0016558423   -17484.828   -16799.461    220.26051  0.037458589 
  345000   -7560.1345   -7559.6245    1.0703725    305.12631    301.74141    5.2709725    24563.603    24563.603 0.0016558423   -16704.541   -16475.009     153.8546  0.037233817 
