Step TotEng v_varAveEnergy v_energySTD Temp v_varAveTemp v_tempSTD Volume v_varAveVolume v_volumeSTD Press v_varAvePress v_pressSTD c_MSD[4] 
  380000   -7598.3427   -7594.9152    1.1231694    292.73739    300.83967     3.822272    24637.294    24637.294 0.0017605231    -23100.03   -22788.139    126.02022 1.2621774e-29 
  385000   -7591.3712   -7593.2087    1.1828301    305.52501    301.21535    4.4197961    24637.294    24637.294 0.0017605231   -22470.145    -22562.31    97.173376  0.029435807 
  390000   -7596.5196    -7594.387    1.6750006    293.05401    299.63197    5.4294432    24637.294    24637.294 0.0017605231    -22830.34    -22715.07    316.19357  0.033947403 
  395000   -7592.2194   -7594.7832    2.0246874    301.18467    299.40524    5.1059467    24637.294    24637.294 0.0017605231   -22340.956   -22743.702    314.77304  0.035575044 
  400000   -7592.4294   -7595.7006    1.8392891     310.9308    300.76024    5.8130033    24637.294    24637.294 0.0017605231   -22626.856   -22924.991    135.58963  0.035784896 
  405000   -7596.0405   -7595.6915    1.0770917    304.24187    299.75798    5.0247638    24637.294    24637.294 0.0017605231   -23191.493    -22907.81    115.83034  0.035567025 
  410000   -7596.4795   -7596.9064     1.133591    298.79334    297.79461    4.0441147    24637.294    24637.294 0.0017605231   -22985.851   -22992.694    195.97222  0.034754161 
  415000    -7595.816   -7595.9699     1.257762    299.02589    300.47173    4.8544343    24637.294    24637.294 0.0017605231   -22789.143   -22943.796    116.49698  0.036478059 
  420000   -7594.1937   -7593.7244    1.4120723    297.90906    298.34062     4.927375    24637.294    24637.294 0.0017605231   -22489.031   -22419.798    167.40081  0.038463783 
  425000    -7594.363    -7595.131    1.0444019    302.87395    298.90481    4.0489062    24637.294    24637.294 0.0017605231   -22816.585   -22771.341     69.30956  0.038145393 
  430000   -7594.5532   -7595.1551    1.4985189    301.65803    298.80894    5.6800622    24637.294    24637.294 0.0017605231   -22707.506   -22730.933     121.3731  0.035475887 
  435000   -7588.9308   -7594.4766    1.7757786    318.59275    298.92459    5.5162177    24637.294    24637.294 0.0017605231   -22360.034   -22664.703    196.86351  0.036151444 
  440000   -7595.0252   -7593.9588    1.9612607    293.27972    299.66402    5.2247206    24637.294    24637.294 0.0017605231    -22386.53   -22497.667    259.38212  0.037496511 
  445000   -7595.4421   -7593.0981    1.8585349    295.56122    301.12938    5.0041857    24637.294    24637.294 0.0017605231   -22662.318   -22368.897    309.95344  0.037901075 
  450000   -7592.0724   -7595.2172    1.5202315    307.17184    298.57834    5.4621671    24637.294    24637.294 0.0017605231   -22412.449   -22734.557    130.50831  0.036861199 
  455000   -7592.0152   -7594.0792    1.6552474    307.73301    300.28647    5.9456657    24637.294    24637.294 0.0017605231   -22423.604   -22499.526    138.84994  0.037134495 
  460000   -7597.9449   -7594.8768    1.9521446    292.67908    302.51231    6.6215217    24637.294    24637.294 0.0017605231   -23131.805   -22934.238    452.88944   0.03693514 
  465000   -7594.8769   -7594.8451    1.7490912    296.16822    299.62352    4.0532738    24637.294    24637.294 0.0017605231   -22606.362   -22762.545    251.48564    0.0368181 
  470000   -7594.9032   -7594.0757    1.6429411    288.75415    299.43855    5.4029517    24637.294    24637.294 0.0017605231   -22298.156   -22579.465    211.89242  0.039692519 
  475000    -7596.588   -7593.8446    1.8050537    293.72811    301.90503    5.7250597    24637.294    24637.294 0.0017605231   -22851.273   -22680.331    148.08364  0.037123763 
  480000   -7591.9245   -7594.0775    1.3355256    302.70214    299.34299     4.117147    24637.294    24637.294 0.0017605231   -22217.146   -22522.963    197.07233  0.040154468 
