Step TotEng v_varAveEnergy v_energySTD Temp v_varAveTemp v_tempSTD Volume v_varAveVolume v_volumeSTD Press v_varAvePress v_pressSTD c_MSD[4] 
 2370000   -7570.6291   -7572.3759    1.6710774    304.67817    300.08806    5.9167127    24785.117    24785.117 0.0017940599   -29209.932   -29371.866    167.32799 1.9293196e-29 
 2375000   -7571.0588   -7573.1669    2.4169822    304.59679    298.99889    6.1202777    24785.117    24785.117 0.0017940599   -29177.722   -29380.828    323.81791  0.031351122 
 2380000   -7575.2315   -7575.4674    1.6592184    307.96219    301.52409    5.3371095    24785.117    24785.117 0.0017940599   -30424.664   -30110.664    280.80095  0.033720178 
 2385000   -7573.8032   -7574.6657    1.2859533    302.63724    300.38116     5.107378    24785.117    24785.117 0.0017940599   -29805.439   -29851.272    68.765962  0.037207372 
 2390000    -7572.633   -7572.9984    1.3658438    300.22526    305.02724    4.5584602    24785.117    24785.117 0.0017940599   -29323.886   -29597.146    220.90312  0.037345947 
 2395000   -7573.8072   -7573.5208    1.2331608    302.00176    298.39515    3.7953215    24785.117    24785.117 0.0017940599    -29775.31   -29504.949    198.52209   0.03931731 
 2400000   -7575.9179   -7574.4975    1.4043771    298.00398    299.75561    4.5567645    24785.117    24785.117 0.0017940599   -29970.298   -29749.617    128.36758  0.038507285 
 2405000   -7577.4318   -7574.5291    2.3384712    299.45729    299.98414    6.9063214    24785.117    24785.117 0.0017940599   -30459.968   -29777.565    301.47563  0.038194449 
 2410000   -7574.6675     -7572.64    1.8106785    298.64725    299.65191    4.1550893    24785.117    24785.117 0.0017940599   -29872.643     -29458.2    335.77029  0.041413783 
 2415000   -7575.9078   -7574.4815    1.7788272    294.95662    297.87864    5.0361884    24785.117    24785.117 0.0017940599   -29866.355    -29765.47    199.35437   0.04120591 
 2420000   -7573.2029   -7573.3067    1.5288974    295.64351    299.32049    5.0126225    24785.117    24785.117 0.0017940599   -29400.089   -29599.281     126.2986  0.040802342 
 2425000   -7574.4606   -7575.7058    1.4339892    299.69835    297.62482    3.3852427    24785.117    24785.117 0.0017940599   -29795.325   -29972.969    353.70614  0.039160077 
