Step TotEng v_varAveEnergy v_energySTD Temp v_varAveTemp v_tempSTD Volume v_varAveVolume v_volumeSTD Press v_varAvePress v_pressSTD c_MSD[4] 
  585000   -7615.5478   -7613.9188    1.3912913    301.47908    302.03073    5.8465466     24859.25     24859.25 0.00048828125    -35964.74   -35637.451    201.44477 1.2623315e-29 
  590000   -7613.2833    -7614.304    1.4261464    310.22547    300.85158    5.3070817     24859.25     24859.25 0.00048828125   -35878.941   -35733.371    191.82104  0.030640925 
  595000   -7617.0117   -7615.6281    1.2292533    299.17705    301.84301    4.6167474     24859.25     24859.25 0.00048828125   -36085.755   -35954.221    135.12316   0.03492072 
  600000   -7618.4802   -7617.8147    1.3579217    301.46502    299.27867    4.3637756     24859.25     24859.25 0.00048828125   -36563.149   -36337.422     191.6176  0.037575094 
  605000    -7613.625   -7615.0167    1.3015646    305.45971    301.54827    4.5315748     24859.25     24859.25 0.00048828125   -35702.271   -35851.467    210.15047  0.038843801 
  610000   -7613.7951   -7615.5315     1.282202    309.05773    301.41271    4.6392406     24859.25     24859.25 0.00048828125    -35956.17   -35947.282    119.42916  0.038836696 
  615000   -7618.4902   -7618.4481     1.116718     296.1795    298.33944    4.6227696     24859.25     24859.25 0.00048828125     -36233.8   -36402.998    117.82918  0.040101001 
  620000   -7617.0088   -7617.1667     1.163645    298.76959    299.28597    4.1376974     24859.25     24859.25 0.00048828125   -35969.777   -36210.298    188.79296  0.038496778 
  625000    -7617.488   -7616.1946    1.8170862     298.7071    301.48659    5.7070136     24859.25     24859.25 0.00048828125   -36250.573   -36081.434    171.68048  0.039755899 
  630000   -7615.7321   -7615.1946   0.98005048    300.92684     302.6044     3.709448     24859.25     24859.25 0.00048828125   -35987.642   -35950.377    55.753379  0.039551245 
  635000   -7613.4655   -7616.5821    2.0177216    306.67706    298.23766    5.4517558     24859.25     24859.25 0.00048828125   -35722.078   -35979.966     243.4036  0.039562907 
  640000   -7616.7909   -7615.6688    1.2022087    298.24828    300.20367    4.2563566     24859.25     24859.25 0.00048828125   -36046.412   -35887.288    134.28882  0.039285825 
  645000   -7615.2084   -7616.9099    1.8458475    298.28883    299.45402    4.6261719     24859.25     24859.25 0.00048828125   -35649.432   -36141.287    345.38497  0.039836147 
  650000   -7614.1458   -7614.2123    1.3372688    300.33868    300.26609    4.7703824     24859.25     24859.25 0.00048828125   -35593.289   -35539.078    109.82195  0.039666867 
  655000   -7616.7149   -7613.5837    1.8996035    294.42667    300.24489    3.9910808     24859.25     24859.25 0.00048828125   -35916.245   -35505.068     286.5868  0.041284936 
  660000   -7617.3572   -7616.2145     1.373548    296.14782    299.87082    5.2599438     24859.25     24859.25 0.00048828125   -36106.148   -36005.545    108.17653  0.039757337 
  665000   -7616.5247   -7615.5186       1.7101    304.18665    298.64241    5.1035813     24859.25     24859.25 0.00048828125   -36424.077   -35890.647    236.54002  0.038929198 
  670000   -7612.8451    -7614.576    1.6053363    304.39174    301.44934    5.3679834     24859.25     24859.25 0.00048828125   -35481.591   -35764.937    193.02703  0.040940689 
  675000   -7612.2687   -7614.3574    1.7117904    307.65604    301.89268    5.1490395     24859.25     24859.25 0.00048828125   -35600.282    -35800.05    184.97123  0.042496341 
  680000   -7613.4381   -7615.5339    1.2618788     309.6983    300.85355    5.9903436     24859.25     24859.25 0.00048828125   -35875.839   -35894.926    137.48284  0.041433648 
  685000   -7615.4455   -7615.4151     1.652183    301.69367    298.65123    5.9143512     24859.25     24859.25 0.00048828125   -35980.976   -35836.817    182.93421  0.042023847 
  690000   -7617.2981   -7617.5905    1.4499097    299.57177    298.58318    4.5365821     24859.25     24859.25 0.00048828125   -36260.642   -36127.581    162.75739  0.040905603 
  695000   -7613.8667   -7616.5522    1.7186113    304.72649    300.89303    5.2142696     24859.25     24859.25 0.00048828125   -35752.234    -36161.13    214.27271  0.041443658 
  700000   -7617.9581   -7617.2714    1.5433266    300.04974    302.17014     4.883516     24859.25     24859.25 0.00048828125   -36389.138   -36321.863    137.89434  0.039974075 
  705000   -7617.0787   -7616.6334     1.116631    303.98135    299.04168    4.8687781     24859.25     24859.25 0.00048828125   -36470.363     -36029.5      135.961  0.039900141 
  710000   -7617.0152   -7615.8691    1.2860441    295.25146    300.48179    4.4790384     24859.25     24859.25 0.00048828125   -35906.031   -35963.167    240.97869  0.040049037 
  715000   -7614.4149   -7614.7611    1.5937816    305.32421    303.84425    5.7007284     24859.25     24859.25 0.00048828125   -35978.177     -35927.1    140.38739  0.038405679 
  720000   -7615.5139   -7618.1009    1.2520092    301.45976     298.3015    4.2538864     24859.25     24859.25 0.00048828125    -36036.96   -36426.508    220.02502   0.04023979 
  725000   -7614.3159    -7615.108    1.4791425    304.84915    299.56065     4.826377     24859.25     24859.25 0.00048828125   -35790.094   -35749.537    121.43264  0.041286831 
  730000   -7616.0952   -7615.2226    1.3882718    296.31892    300.53474    4.8517558     24859.25     24859.25 0.00048828125   -35605.266   -35681.519    177.60735   0.04168908 
  735000   -7619.1465   -7616.7222    2.7824008    295.09617     299.9401    6.6318621     24859.25     24859.25 0.00048828125   -36395.504   -36103.224     380.2002   0.04023391 
  740000   -7616.5052   -7616.6877    1.2712854    299.39002    302.10839    4.7589278     24859.25     24859.25 0.00048828125   -36038.212   -36281.335    147.93634  0.040716341 
  745000   -7610.3349   -7612.8122    1.4372351    313.70218    304.62301    5.1022728     24859.25     24859.25 0.00048828125   -35396.908   -35508.697    98.401125  0.041726202 
  750000   -7616.1898   -7616.3515    1.3471301    292.40326    301.70184    5.3120461     24859.25     24859.25 0.00048828125   -35711.714   -36126.236    215.54032  0.041955619 
  755000   -7617.1125   -7615.3979    1.7636525    300.60077     299.7156     7.006183     24859.25     24859.25 0.00048828125   -36237.862   -35861.207    140.92713   0.04149684 
  760000   -7617.8748   -7616.3436    1.1102598    294.50596     297.9242    4.1714427     24859.25     24859.25 0.00048828125   -36145.817   -35977.077    79.740761  0.041281026 
  765000   -7614.0995   -7617.3364    1.2790014    311.51121    299.51736    4.8153808     24859.25     24859.25 0.00048828125   -36093.723   -36200.593     160.3477  0.040026282 
  770000   -7614.9949   -7615.2743    1.8266895    300.90106    298.96982    5.7604242     24859.25     24859.25 0.00048828125   -35765.343    -35766.85    171.93368  0.041869324 
  775000   -7615.1574   -7615.8237    1.5694249    300.21309    299.29125    5.2725543     24859.25     24859.25 0.00048828125     -35925.7   -36039.126    205.57846  0.042409458 
  780000   -7619.9286   -7616.6221    1.5301532    287.55785    298.56212    6.5568394     24859.25     24859.25 0.00048828125   -36330.302   -36094.164    120.20872   0.03999437 
  785000   -7618.2662   -7617.6418    1.2768278    300.09894    299.58742    4.6638987     24859.25     24859.25 0.00048828125   -36476.523   -36206.208    156.27261  0.039706739 
  790000   -7609.4497   -7615.4809    1.9740846    315.88113    301.59924    6.4076883     24859.25     24859.25 0.00048828125   -35142.018   -35899.817    320.67261  0.041282555 
  795000   -7617.1775   -7615.6781    1.3084967    296.59717    301.51331    4.8731883     24859.25     24859.25 0.00048828125   -36120.733   -35941.229     173.8421  0.042897463 
  800000   -7617.8961   -7615.7479    1.4057497      290.211    299.66439    4.6756316     24859.25     24859.25 0.00048828125   -35920.632   -35889.269    130.49419  0.040229482 
  805000     -7617.19   -7615.7726    1.2474164    297.45801    301.55177    4.5137947     24859.25     24859.25 0.00048828125   -36156.881    -36046.19    137.62984  0.040299968 
  810000   -7615.7732   -7616.2696    1.4603507     301.8302    299.62127    5.8783298     24859.25     24859.25 0.00048828125   -36008.441   -36010.119     147.4103  0.039981299 
  815000   -7616.8876   -7616.1693    1.1381007      296.576    298.48742    4.1286062     24859.25     24859.25 0.00048828125   -36007.447   -36006.299    145.18621  0.040801468 
